Service Name,Document Name,Source URL,Content Type,Estimated Pages,Knowledge Category,Description
Amazon S3,S3 API Reference,https://docs.aws.amazon.com/AmazonS3/latest/API/,API Reference Documentation,400,Factual,"Complete REST API reference for all S3 operations, request/response formats, error codes"
Amazon S3,S3 Storage Classes and Lifecycle,https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html?utm_source=chatgpt.com,Reference Guide,60,Factual,"Detailed specifications for Standard, IA, Glacier, Intelligent-Tiering with pricing and retrieval times"
Amazon S3,S3 Architecture and Data Consistency,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html#ConsistencyModel and https://cloudwithalon.com/writing/deep-dive-into-aws-s3-architecture/,Architecture Guide,50,Conceptual,"S3 architecture, strong read-after-write consistency model, distributed system design"
Amazon S3,S3 Replication Architecture (CRR/SRR),https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication.html,Technical Guide,80,Conceptual,"Cross-Region and Same-Region Replication architecture, replication rules, and use cases"
Amazon S3,S3 Security Best Practices,https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html,Best Practices Guide,70,Contextual,"Security recommendations with rationale: bucket policies, ACLs, encryption, access logging, blocking public access"
Amazon S3,S3 Performance Optimization Guidelines,Performance guidelines for Amazon S3 - Amazon Simple Storage Service,Best Practices Guide,35,Contextual,"Request rate optimization, key naming patterns, multipart upload strategies with performance trade-offs"
Amazon S3,S3 Getting Started Guide,https://docs.aws.amazon.com/AmazonS3/latest/userguide/GetStartedWithS3.html,Tutorial Guide,40,Procedural,"Step-by-step guide: creating buckets, uploading objects, setting permissions, accessing data"
Amazon S3,S3 Bucket Configuration and Management,"Creating, configuring, and working with Amazon S3 general purpose buckets - Amazon Simple Storage Service",User Guide,100,Procedural,"How to configure versioning, lifecycle policies, event notifications, access points, and bucket policies"
Amazon EC2,EC2 Instance Types Reference,Amazon EC2 instance types - Amazon Elastic Compute Cloud,Reference Documentation,180,Factual,"Complete specifications: vCPUs, memory, storage, network performance for all instance families"
Amazon EC2,EC2 API Reference,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/,API Reference Documentation,350,Factual,"Full API documentation for instance management, volumes, snapshots, networking operations"
Amazon EC2,EC2 Networking Architecture,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-networking.html,Architecture Guide,120,Conceptual,"VPC integration, ENIs, security groups, placement groups, enhanced networking architecture"
Amazon EC2,EC2 Auto Scaling Concepts,https://docs.aws.amazon.com/autoscaling/ec2/userguide/what-is-amazon-ec2-auto-scaling.html,Conceptual Guide,80,Conceptual,"Auto scaling architecture, scaling policies, health checks, lifecycle hooks concepts"
Amazon EC2,EC2 Best Practices for Performance and Cost,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-best-practices.html,Best Practices Guide,60,Contextual,"Instance selection rationale, right-sizing, spot instances, Reserved Instances strategies"
Amazon EC2,EC2 Security Best Practices,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-security.html,Security Guide,70,Contextual,"Security group design, IAM roles, key management, network isolation with architectural context"
